Package Name                                                                                           | Version          | ID  | Bundle Name
org.eclipse.jetty.ajp                                                                                  | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.annotations                                                                          | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.client.security                                                                      | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.client.webdav                                                                        | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.client                                                                               | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.continuation                                                                         | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.deploy.bindings                                                                      | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.deploy.graph                                                                         | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.deploy.jmx                                                                           | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.deploy.providers.jmx                                                                 | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.deploy.providers                                                                     | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.deploy.util                                                                          | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.deploy                                                                               | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.http.gzip                                                                            | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.http.ssl                                                                             | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.http                                                                                 | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.io.bio                                                                               | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.io.nio                                                                               | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.io                                                                                   | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.jmx                                                                                  | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.jndi.factories                                                                       | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.jndi.java                                                                            | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.jndi.local                                                                           | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.jndi                                                                                 | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.nested                                                                               | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.plus.annotation                                                                      | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.plus.jaas.callback                                                                   | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.plus.jaas.spi                                                                        | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.plus.jaas                                                                            | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.plus.jndi                                                                            | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.plus.security                                                                        | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.plus.servlet                                                                         | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.plus.webapp                                                                          | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.rewrite.handler                                                                      | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.security.authentication                                                              | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.security.jaspi.callback                                                              | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.security.jaspi.modules                                                               | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.security.jaspi                                                                       | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.security                                                                             | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.server.bio                                                                           | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.server.handler.jmx                                                                   | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.server.handler                                                                       | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.server.jmx                                                                           | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.server.nio.jmx                                                                       | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.server.nio                                                                           | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
